SL,Date,Chainage,UTM_X,UTM_Y,BTM_X,BTM_Y,Distance,RL_mPWD,Remarks
10630,05/03/2018,8630,298556.75,2706105.34,602919.675,704738.123,64.212289,-0.8,CL
10679,05/03/2018,8680,298596.01,2706082.11,602959.149,704715.982,56.871801,-0.36,CL
10723,05/03/2018,8730,298637.48,2706050.46,603000.818,704684.891,45.534575,-0.75,CL
10775,05/03/2018,8780,298681.83,2706019.92,603046.44,704655.884,65.133428,-0.42,CL
10832,05/03/2018,8830,298718.82,2705990.67,603084.046,704627.704,76.311445,-0.58,CL
10872,05/03/2018,8880,298753.81,2705962.15,603119.653,704599.48,60.406703,-0.48,CL
10921,05/03/2018,8930,298797.12,2705925.02,603163.428,704563.435,49.618694,-0.71,CL
10960,05/03/2018,8980,298822.13,2705883.91,603189.302,704523.001,45.191442,-1.3,CL
11031,05/03/2018,9030,298855.13,2705844.73,603223.127,704484.74,74.33162,-1.3,CL
11094,05/03/2018,9080,298885.38,2705813,603253.802,704453.41,55.196235,-1.21,CL
11144,05/03/2018,9130,298926.63,2705776.89,603296.556,704418.342,49.637979,-2.3,CL
11204,05/03/2018,9180,298963.23,2705759.29,603332.924,704401.133,50.24895,-0.34,CL
11261,05/03/2018,9230,299017.65,2705756.8,603387.934,704400.326,62.950477,0.17,CL
11322,05/03/2018,9280,299071.44,2705766.57,603440.685,704411.469,83.571876,0,CL
11371,05/03/2018,9330,299114.43,2705768.44,603483.637,704413.4,45.163575,-0.8,CL
11419,05/03/2018,9380,299168.08,2705785.99,603537.214,704432.559,54.584673,-0.79,CL
11466,05/03/2018,9430,299214.4,2705794.84,603582.991,704442.55,39.627586,-1.16,CL
11522,05/03/2018,9480,299262.06,2705818.39,603630.463,704466.576,48.261742,-2.14,CL
11591,05/03/2018,9530,299311.83,2705829.59,603680.173,704479.653,54.880206,-2.99,CL
11647,05/03/2018,9580,299355.8633,2705807.02,603724.644,704457.62,54.589284,-3.99,CL
11726,05/03/2018,9630,299387.97,2705775.95,603757.297,704427.332,40.30364,-0.69,CL
11776,05/03/2018,9680,299423.08,2705741.08,603793.034,704393.112,40.112003,-0.92,CL
11838,05/03/2018,9730,299455.03,2705705.01,603825.795,704357.827,43.411081,-1.01,CL
11891,05/03/2018,9780,299489.06,2705664.18,603860.662,704317.589,44.804866,-0.78,CL
11942,05/03/2018,9830,299524.76,2705630.67,603897.356,704285.389,60.810888,-0.96,CL
11993,05/03/2018,9880,299561.06,2705595.85,603934.092,704251.19,61.007807,-1.11,CL
12037,05/03/2018,9930,299602.89,2705568.02,603976.673,704224.117,59.901174,-1.22,CL
12085,05/03/2018,9980,299649.58,2705553.46,604023.97,704210.145,49.901383,-0.96,CL
12139,05/03/2018,10030,299692.52,2705526.52,604067.507,704185.092,48.611324,-1.03,CL
12196,05/03/2018,10080,299731.03,2705500.24,604106.069,704158.932,55.559823,-1.15,CL
12256,05/03/2018,10130,299765.21,2705460.86,604140.894,704120.692,59.789662,-4.27,CL
12321,05/03/2018,10180,299747.56,2705386.62,604125.507,704046.369,60.529282,-1.49,CL
12379,05/03/2018,10230,299728.59,2705367.28,604106.952,704025.969,52.241264,-0.97,CL
12427,05/03/2018,10280,299678.53,2705346.99,604057.416,704004.898,49.894298,-0.97,CL
12468,05/03/2018,10330,299629.01,2705330.16,604007.814,703986.825,48.007767,-1.13,CL
12510,05/03/2018,10380,299583.24,2705323.96,603961.972,703979.832,45.658506,-1.3,CL
12557,05/03/2018,10430,299534.89,2705311.27,603914.283,703965.8,50.275491,-1.6,CL
12611,05/03/2018,10480,299499.24,2705278.07,603879.02,703932.04,54.600572,-1.82,CL
12676,05/03/2018,10530,299483.81,2705234.55,603864.96,703888.741,79.55873155,-3.99,CL
12742,05/03/2018,10580,299508.92,2705193.62,603890.834,703848.307,80.24065865,-3.9,CL
12804,05/03/2018,10630,299542.85,2705160.57,603925.528,703816.064,71.75505139,-0.71,CL
12864,05/03/2018,10680,299586.1836,2705136.14,603969.043,703792.011,61.41167763,-0.73,CL
12915,05/03/2018,10730,299633.286,2705112.749,604016.513,703770.043,46.32180019,-1.12,CL
12957,05/03/2018,10780,299679.618,2705091.71,604063.94,703750.074,31.62048288,-1.73,CL
13004,05/03/2018,10830,299719.54,2705055.57,604104.695,703714.962,55.87987034,-2.04,CL
13041,05/03/2018,10880,299750.95,2705021.71,604136.413,703681.654,37.50791433,-1.06,CL
13089,05/03/2018,10930,299797.3196,2704999.268,604182.884,703659.665,35.00061516,-2.22,CL
13148,05/03/2018,10980,299844.34,2704979.68,604230.267,703641.695,50.91617646,-1.18,CL
13205,05/03/2018,11030,299887.35,2704965.82,604273.544,703628.635,51.01722004,-0.09,CL
13261,05/03/2018,11080,299939.52,2704959.61,604326.642,703623.786,54.35083904,-0.01,CL
13327,05/03/2018,11130,299979.73,2704958.56,604366.64,703623.653,56.1505699,0.2,CL
13397,05/03/2018,11180,300034.75,2704967.63,604421.412,703633.84,62.93504111,0.14,CL
13461,05/03/2018,11230,300074.91,2704978.69,604461.149,703645.699,63.92139079,0.17,CL
