Sl. No.,"Name of 
Haor",Name of WMG & #,Name of XO,Demo#,N,D,M,S,Lat,E,D,M,S,Lon,Demo Area (Dec.),Date of Seedling,Transplanting,Harvesting,Seedling Age,Growth Duration (days),Total Cost(tk),Cultivation cost (tk/Ha),Production (kg/plot),Selling Price(tk),Yield (Kg/Ha),Total Sell Value(tk),Comparative Production(kg),Comparative Yield (Kg/Ha),Rice sold (tk/Ha),Net benefit (tk/Ha)
535,Chatal,Raji Kanla#212,Nazmul,24.15,"24ø37'31.7""",24,37,31.7,24.62547222,"91ø24'50.2""",91,24,50.2,91.41491667,35,43438,43476,43582,38,144,8455,59692.3,910,14.37,6424.6,13076.7,770,5436.2,92321.502,32629.202
536,Chatal,Raji Kanla#212,Nazmul,24.16,"24ø32'29.9""",24,32,29.9,24.54163889,"91ø24'53.7""",91,24,53.7,91.40297222,35,43431,43476,43570,45,139,8000,56480,0,14.37,0,13475,770,5436.2,0,-56480
537,Chatal,Raji Kanla#212,Nazmul,24.17,"24ø32'56.2""",24,32,56.2,24.54894444,"91ø25'10.7""",91,25,10.7,91.41975,35,43427,43465,43569,38,142,8345,58915.7,840,14,5930.4,11760,630,4447.8,83025.6,24109.9
538,Chatal,Raji Kanla#212,Nazmul,24.18,"24ø31'57.9""",24,31,57.9,24.53275,"91ø25'11.1""",91,25,11.1,91.41838889,35,43433,43469,43576,36,143,8548,60348.88,980,14.5,6918.8,14210,630,4447.8,100322.6,39973.72
539,Chatal,Raji Kanla#212,Nazmul,24.19,"24ø32'34.5""",24,32,34.5,24.54291667,"91ø25'6.2""",91,25,6.2,91.41866667,35,43441,43472,43578,31,137,8485,59904.1,980,14,6918.8,13720,700,4942,96863.2,36959.1
540,Chatal,Raji Kanla#212,Nazmul,24.2,"24ø32'37.3""",24,32,37.3,24.54369444,"91ø25'7.2""",91,25,7.2,91.43069444,35,43435,43470,43576,35,141,8655,61104.3,980,14.5,6918.8,14210,840,5930.4,100322.6,39218.3
541,Chatal,Raji Kanla#212,Nazmul,24.21,"24ø32'29.7""",24,32,29.7,24.54158333,"91ø24'50.5""",91,24,50.5,91.41505556,35,43439,43474,43581,35,142,8515,60115.9,980,14.5,6918.8,14210,770,5436.2,100322.6,40206.7
542,Chatal,Raji Kanla#212,Nazmul,24.22,"24ø32'30.5""",24,32,30.5,24.54180556,"91ø24'54.2""",91,24,54.2,91.40930556,35,43428,43465,43568,37,140,8925,63010.5,910,14.37,6424.6,13076.7,1120,7907.2,92321.502,29311.002
543,Chatal,Raji Kanla#212,Nazmul,24.23,"24ø31'45.5""",24,31,45.5,24.52930556,"91ø24'33.5""",91,24,33.5,91.40205556,35,43437,43474,43580,37,143,8675,61245.5,980,14.5,6918.8,14210,630,4447.8,100322.6,39077.1
544,Chatal,Raji Kanla#212,Nazmul,24.24,"24ø32'35.5""",24,32,35.5,24.54319444,"91ø25'7.4""",91,25,7.4,91.43172222,35,43436,43475,43577,39,141,8625,60892.5,910,14.25,6424.6,12967.5,700,4942,91550.55,30658.05
545,Chatal,Raji Kanla#212,Nazmul,24.25,"24ø32'30.4""",24,32,30.4,24.54177778,"91ø24'54.2""",91,24,54.2,91.40222222,35,43438,43478,43585,40,147,8260,58315.6,840,15,5930.4,12600,630,4447.8,88956,30640.4
546,Chatal,Raji Kanla#212,Nazmul,24.26,"24ø32'34.7""",24,32,34.7,24.54297222,"91ø25'8.0""",91,25,8,91.41666667,35,43435,43472,43580,37,145,8480,59868.8,910,15,6424.6,13650,700,4942,96369,36500.2
